Original,Obfuscated
AMSIProviderCommand,O_82EC1E73
AMSIProviderDTO,O_144B124F
AntiVirusCommand,O_23DCFB01
AntiVirusDTO,O_A6AE78E3
AppLockerCommand,O_6FA04BA2
AppLockerDTO,O_81B62776
AppLockerTextFormatter,O_B771F1FF
ArpEntry,O_6363B96E
ArpTableCommand,O_1FAD9A6C
ArpTableDTO,O_06C7774A
ArpTableTextFormatter,O_4476C7D9
AuditPoliciesCommand,O_014B0973
AuditPolicyDTO,O_371534EF
AuditPolicyGPO,O_1FDF109F
AuditPolicyormatter,O_3C3E088A
AuditPolicyRegistryCommand,O_8D64AA06
AuditPolicyTextFormatter,O_3ABDBA24
AutoRunDTO,O_38A99EC8
AutoRunsCommand,O_D8B1EF8E
AutoRunTextFormatter,O_45A50CF0
AzureADCommand,O_77C85217
AzureADDTO,O_EF541EF3
AzureADFormatter,O_5372F895
Bookmark,O_1BAC4007
CertificateCommand,O_8DF26989
CertificateDTO,O_4EA69D19
CertificateFormatter,O_7688F296
CertificateThumbprintCommand,O_4FA53271
CertificateThumbprintDTO,O_67DBEBA0
CertificateThumbprintFormatter,O_E5551361
ChromiumBookmarksCommand,O_0D879548
ChromiumBookmarksDTO,O_9EBCBFCE
ChromiumBookmarksFormatter,O_230D47AE
ChromiumHistoryCommand,O_C9E57412
ChromiumHistoryDTO,O_8E41BA5B
ChromiumHistoryFormatter,O_E2384155
ChromiumPresenceCommand,O_B48C984A
ChromiumPresenceDTO,O_8E19C753
ChromiumPresenceFormatter,O_65947B97
CloudCredentialsCommand,O_EAA5DD1A
CloudCredentialsDTO,O_2DB4352B
CloudSyncProviderCommand,O_0E201B79
CloudSyncProviderDTO,O_0605B384
CloudSyncProviderFormatter,O_BCC1070F
COM,O_FC331D1C
CommandBase,O_2183A68D
CommandDTOBase,O_4AED570F
ConsoleTextWriter,O_132E9F90
CredentialFileInfo,O_8BC87FE5
CredentialGuardCommand,O_9E6775BC
CredentialGuardFormatter,O_711C9430
CredEnumCommand,O_C2B01D33
CredEnumDTO,O_A55183BA
CredGuardDTO,O_8E85A0BE
